,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2021-01-04_2021-01-08,DGS10,IAT,XLE,XLF,XLY,XLV,XLI,QQQ,VOX,XLU,VNQ,XLP,GLD,GDX,TIPS
2021-01-11_2021-01-15,TIPS,VNQ,XLU,XLE,IAT,XLY,XLF,QQQ,XLV,XLI,XLP,GLD,VOX,DGS10,GDX
2021-01-19_2021-01-25,TIPS,VOX,QQQ,VNQ,XLY,XLU,GDX,GLD,XLP,XLV,XLI,IAT,XLF,XLE,DGS10
2021-01-26_2021-02-01,DGS10,GDX,GLD,VNQ,TIPS,XLU,XLI,XLF,QQQ,XLV,VOX,XLY,IAT,XLE,XLP
2021-02-02_2021-02-08,XLE,DGS10,IAT,VOX,XLF,XLI,XLP,XLY,QQQ,GDX,TIPS,VNQ,XLU,XLV,GLD
2021-02-09_2021-02-16,DGS10,XLE,IAT,XLF,VOX,QQQ,XLI,XLV,VNQ,XLP,XLY,XLU,GLD,GDX,TIPS
2021-02-17_2021-02-23,DGS10,IAT,XLE,XLF,XLI,GLD,VNQ,GDX,VOX,XLP,XLU,XLV,XLY,QQQ,TIPS
2021-02-24_2021-03-02,DGS10,XLI,VOX,XLV,XLU,TIPS,XLF,QQQ,XLP,XLY,XLE,IAT,VNQ,GLD,GDX
2021-03-03_2021-03-09,DGS10,XLE,XLU,GDX,XLY,XLP,VOX,VNQ,XLI,IAT,XLF,XLV,QQQ,GLD,TIPS
2021-03-10_2021-03-16,DGS10,VNQ,GDX,QQQ,VOX,XLU,XLY,XLV,XLP,XLI,GLD,IAT,XLF,TIPS,XLE
2021-03-17_2021-03-23,XLP,XLU,DGS10,XLV,GLD,QQQ,VOX,VNQ,TIPS,XLY,XLI,XLF,GDX,IAT,XLE
2021-03-24_2021-03-30,DGS10,IAT,XLI,XLF,VNQ,XLP,XLY,XLV,XLU,QQQ,XLE,VOX,GDX,GLD,TIPS
2021-03-31_2021-04-07,TIPS,VOX,GDX,QQQ,XLY,VNQ,XLF,GLD,XLU,IAT,XLP,XLI,XLE,XLV,DGS10
2021-04-08_2021-04-14,TIPS,XLY,XLU,XLV,XLE,IAT,XLI,XLF,VNQ,QQQ,DGS10,XLP,GLD,VOX,GDX
2021-04-15_2021-04-21,GDX,XLV,VNQ,GLD,XLP,XLU,DGS10,XLI,XLF,XLY,IAT,QQQ,VOX,TIPS,XLE
2021-04-22_2021-04-28,XLE,IAT,DGS10,XLF,TIPS,VOX,XLI,XLY,QQQ,VNQ,GLD,XLV,XLP,XLU,GDX
2021-04-29_2021-05-05,TIPS,XLE,GDX,IAT,XLF,XLV,XLI,GLD,XLP,XLU,XLY,VNQ,QQQ,VOX,DGS10
2021-05-06_2021-05-12,DGS10,GDX,GLD,TIPS,XLE,XLV,XLP,XLU,XLF,VNQ,XLI,VOX,IAT,QQQ,XLY
2021-05-13_2021-05-19,GDX,GLD,DGS10,QQQ,VNQ,XLE,XLV,VOX,XLY,XLF,XLP,XLU,IAT,XLI,TIPS
2021-05-20_2021-05-26,TIPS,VOX,XLY,QQQ,VNQ,XLI,GLD,XLF,IAT,XLP,XLE,GDX,XLV,XLU,DGS10
2021-05-27_2021-06-03,XLE,VNQ,DGS10,XLF,XLU,XLP,IAT,XLI,VOX,QQQ,TIPS,XLV,GLD,XLY,GDX
2021-06-04_2021-06-10,VNQ,XLV,QQQ,VOX,XLU,XLY,GDX,GLD,XLE,XLP,TIPS,XLI,XLF,IAT,DGS10
2021-06-11_2021-06-17,DGS10,QQQ,XLV,VOX,XLY,XLU,XLP,VNQ,XLI,XLE,XLF,IAT,GLD,GDX,TIPS
2021-06-18_2021-06-24,XLE,TIPS,IAT,XLF,VOX,XLI,XLY,DGS10,QQQ,XLV,XLP,VNQ,GDX,GLD,XLU
2021-06-25_2021-07-01,TIPS,QQQ,XLV,XLY,XLI,VOX,XLF,XLP,XLU,GLD,VNQ,XLE,IAT,GDX,DGS10
2021-07-02_2021-07-09,VNQ,GLD,XLU,XLY,QQQ,XLV,XLP,XLI,TIPS,GDX,XLF,IAT,VOX,XLE,DGS10
2021-07-12_2021-07-16,TIPS,XLU,XLP,GLD,GDX,XLV,VNQ,QQQ,XLI,VOX,XLF,XLY,IAT,DGS10,XLE
2021-07-19_2021-07-23,DGS10,VOX,XLY,XLI,QQQ,IAT,XLE,XLV,XLF,VNQ,TIPS,XLP,XLU,GDX,GLD
2021-07-26_2021-07-30,TIPS,GDX,XLV,GLD,VNQ,XLU,XLF,XLP,XLI,IAT,XLE,QQQ,VOX,XLY,DGS10
2021-08-02_2021-08-06,DGS10,IAT,XLF,XLU,XLE,QQQ,XLI,VNQ,VOX,XLV,XLY,XLP,GLD,GDX,TIPS
2021-08-09_2021-08-13,TIPS,GLD,XLU,XLP,XLI,XLF,IAT,XLE,GDX,XLY,VNQ,XLV,VOX,QQQ,DGS10
2021-08-16_2021-08-20,XLU,XLV,DGS10,VNQ,XLP,GLD,QQQ,VOX,XLY,XLF,XLI,IAT,XLE,GDX,TIPS
2021-08-23_2021-08-27,DGS10,TIPS,XLE,IAT,XLF,VOX,GDX,XLI,XLY,GLD,QQQ,VNQ,XLU,XLP,XLV
2021-08-30_2021-09-03,GDX,DGS10,VNQ,XLU,XLV,XLP,GLD,VOX,QQQ,XLY,XLI,XLE,IAT,XLF,TIPS
2021-09-07_2021-09-13,TIPS,XLE,IAT,XLF,XLP,GLD,XLU,XLY,XLI,GDX,VOX,QQQ,VNQ,XLV,DGS10
2021-09-14_2021-09-20,DGS10,XLV,VNQ,XLE,IAT,XLP,XLY,XLI,XLF,GLD,VOX,QQQ,XLU,TIPS,GDX
2021-09-21_2021-09-27,XLE,DGS10,IAT,XLF,XLY,XLI,VOX,QQQ,XLP,XLV,GLD,VNQ,XLU,GDX,TIPS
2021-09-28_2021-10-04,TIPS,XLE,GLD,XLU,IAT,GDX,VNQ,XLF,VOX,XLP,XLI,XLY,XLV,QQQ,DGS10
2021-10-05_2021-10-12,GDX,DGS10,XLE,VNQ,XLY,XLP,XLI,GLD,IAT,QQQ,XLF,XLU,XLV,TIPS,VOX
2021-10-13_2021-10-19,DGS10,QQQ,XLF,XLY,XLI,XLE,VOX,IAT,XLV,VNQ,XLU,GDX,XLP,GLD,TIPS
2021-10-20_2021-10-26,TIPS,XLY,XLV,VNQ,GDX,XLE,QQQ,XLP,XLF,XLU,GLD,IAT,XLI,DGS10,VOX
2021-10-27_2021-11-02,XLY,QQQ,XLV,IAT,XLI,VOX,DGS10,VNQ,XLF,XLP,XLE,XLU,GLD,GDX,TIPS
2021-11-03_2021-11-09,TIPS,GDX,GLD,XLE,XLI,QQQ,VOX,XLP,VNQ,XLU,XLF,XLY,IAT,XLV,DGS10
2021-11-10_2021-11-17,DGS10,XLY,QQQ,GDX,GLD,VNQ,XLU,VOX,XLV,XLI,IAT,XLE,XLP,TIPS,XLF
2021-11-18_2021-11-24,DGS10,XLE,IAT,XLF,XLU,VNQ,XLP,XLI,XLY,QQQ,XLV,VOX,GLD,GDX,TIPS
2021-11-26_2021-12-02,VNQ,XLE,XLU,IAT,XLY,XLF,QQQ,XLI,GLD,XLV,XLP,DGS10,VOX,GDX,TIPS
